Kategorie: Alle Kategorien

Woche,Corona: (Baden-Württemberg)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,3
2020-02-09,2
2020-02-16,1
2020-02-23,22
2020-03-01,31
2020-03-08,73
2020-03-15,100
2020-03-22,74
2020-03-29,59
2020-04-05,46
2020-04-12,49
2020-04-19,38
2020-04-26,35
2020-05-03,39
2020-05-10,32
2020-05-17,28
2020-05-24,28
2020-05-31,24
2020-06-07,21
2020-06-14,25
2020-06-21,22
2020-06-28,20
2020-07-05,20
2020-07-12,20
2020-07-19,21
2020-07-26,25
2020-08-02,23
2020-08-09,22
2020-08-16,26
2020-08-23,26
2020-08-30,20
2020-09-06,20
2020-09-13,20
2020-09-20,23
2020-09-27,23
2020-10-04,31
2020-10-11,50
2020-10-18,55
2020-10-25,57
2020-11-01,34
2020-11-08,31
2020-11-15,31
2020-11-22,32
2020-11-29,31
2020-12-06,48
2020-12-13,52
2020-12-20,40
2020-12-27,34
2021-01-03,48
2021-01-10,34
2021-01-17,37
2021-01-24,29
2021-01-31,27
2021-02-07,33
2021-02-14,27
2021-02-21,29
2021-02-28,38
2021-03-07,34
2021-03-14,36
